,Date,Model Name,Parameters,Evaluation Name,Threshold,Result
2329,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 0.5",Recall,Threshold: 0.3,1
2335,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.2,1
2338,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.02,1
2341,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.05,1
2344,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.1,1
2347,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.01,1
2351,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 0.5",Recall,Threshold: 0.3,1
2357,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.2,1
2360,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.02,1
2363,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.05,1
2366,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.1,1
2369,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.01,1
2373,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 1.0",Recall,Threshold: 0.3,1
2379,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.2,1
2382,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.02,1
2385,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.05,1
2388,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.1,1
2391,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.01,1
2395,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 2.0",Recall,Threshold: 0.3,1
2398,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.5,1
2401,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.2,1
2404,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.02,1
2407,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.05,1
2410,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.1,1
2413,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.01,1
2417,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 1.0",Recall,Threshold: 0.3,1
